0.2,0.25,0,0.25,0.33,0,0.33,0.5,0.66,0.33,level1
0.2,0.75,0.33,0.5,0.66,0.25,0.16,0.75,0.66,0.66,level1
0,0.25,0.33,0.25,0,0.25,0.66,0,0,0.33,level0
0.2,0.5,0.66,0.5,1,0.75,0.83,0.5,0.66,1,level2
0.8,0.75,1,1,0.66,1,0,0.75,1,0.33,level2
0.2,0,0,0.25,0.33,0,0.16,0.25,0,0,level0
0.6,0.25,0.33,0.75,0.66,0.5,0.83,0.5,0.33,0.66,level2
0.8,0.5,0.66,0.75,0.66,0.75,0.33,0.5,0.66,0.66,level2
0,0.25,0,0,0,0.25,0.16,0,0,0.66,level0
1,0.25,0.33,0.25,0.33,0.25,0.66,0,0.33,0.33,level1
0.4,0.5,0.33,0.25,0.66,0.5,0.83,0.25,0.33,0,level1
0.4,0.75,0.66,0.75,1,0.75,0.33,1,1,0.66,level2
0.2,0.25,0,0,0.33,0,1,0,0,0,level0
0.4,1,0.33,0.25,0.33,1,0.66,1,0.33,0.33,level2
0.6,0.75,0.66,0.5,0.66,0.5,0.66,0.5,0.66,1,level2
0.8,0.5,0.33,0.25,0.33,0.25,0.33,0.25,0.33,0.33,level1
0,0.5,0,0,0.33,0.75,0.83,0,0.66,0.66,level1
0.2,0,0.33,0.25,0.33,0,0.16,0.5,0,0.33,level0
0.6,0.75,1,0.75,1,1,0.66,0.25,1,0.66,level3
0,0.25,0.33,0.5,0.33,0,0.33,0.5,0.33,0.33,level1
0.6,0.5,0.66,0.5,0.33,0.25,0,1,0.66,0,level1
1,0.75,1,1,1,0.5,1,0.75,0.66,0.66,level3
0.4,0.5,0.66,0.75,0.33,0.25,0.66,0,1,1,level2
0.2,0.5,0.33,0.5,0,0.25,0.16,0,0.33,0.33,level1
0.4,0.25,0,0,0,0.25,0.16,0.5,0.33,0,level0
0.6,0.5,0.33,0.5,0.66,0.5,0.66,0.75,0.66,1,level2
0.2,0,0.33,0.25,0.33,0.5,0.66,1,0.66,0.66,level1
1,0.75,1,1,1,0.75,0.83,0.25,1,0.66,level3
0,0.25,0.33,0.25,0,0.25,0,0,0,0.33,level0
0,0.5,0,0.25,0.33,0,0.16,1,0.33,0,level1
0.4,1,0.66,0.75,1,1,0.83,0.5,1,0.66,level3
0.6,0.75,1,0.5,0.66,0.75,0.66,0.75,0.66,0.66,level2
0.8,0.25,0.33,0.5,0.66,0.75,1,0.25,1,1,level2
0.4,0.5,0.66,0.25,0.33,0.25,0.33,1,0,0.33,level1
1,0.5,0.66,1,0.66,1,0.83,0,0.66,1,level2
0,0.5,0,0,0,0.25,0,0.25,0,0,level0
0.4,0.75,0.66,0.5,0.66,0.75,0.66,0,0.33,0.66,level2
0.8,0.5,0.33,0.25,0.33,0.5,0.16,0,0.33,0.33,level1
0.2,0,0,0,0,0.25,0,0.75,0,0.33,level0
1,0.75,0.66,1,1,1,0.83,0.25,1,1,level3
0,0.25,0.33,0.25,0.33,0.25,0.16,0,0.33,0.33,level0
0.2,0,0.33,0,0,0,0.16,0.5,0.33,0,level0
0.6,0.5,0.66,0.25,0.66,0.5,0.66,0.25,0.66,0.33,level2
0.6,0.25,0.33,0.25,0.33,0.25,0.33,1,0.33,0.66,level1
0.8,1,1,0.25,1,0.5,0.83,0,1,1,level2
0,0,0,0,0,0,0,0.25,0,0,level0
0.2,0,0,0.25,0,0.5,0.16,0.25,0,0.33,level0
1,0.5,0.66,0.5,0.33,0.25,0.33,1,0.33,0,level1
0,1,0.66,0.25,0.66,0.75,0.66,1,1,0.66,level2
1,1,1,1,1,1,1,0.5,1,1,level3
0.2,0.25,0,0.25,0.33,0,0.16,0.75,0.66,0.33,level1
0.2,0.75,0.33,0.5,0.66,0.25,0.33,0,0.66,0.66,level1
0,0.25,0.33,0.25,0,0.25,0.16,0.5,0,0.33,level0
0.2,0.5,0.66,0.5,1,0.75,0.66,0.75,0.66,1,level2
0.8,0.75,1,1,0.66,1,0.83,0.25,1,0.33,level3
0.2,0,0,0.25,0.33,0,0,0.5,0,0,level0
0.6,0.25,0.33,0.75,0.66,0.5,0.16,0.5,0.33,0.66,level1
0.8,0.5,0.66,0.75,0.66,0.75,0.83,0,0.66,0.66,level2
0,0.25,0,0,0,0.25,0.33,0,0,0.66,level0
1,0.25,0.33,0.25,0.33,0.25,0.16,0.25,0.33,0.33,level1
0.4,0.5,0.33,0.25,0.66,0.5,0.66,1,0.33,0,level1
0.4,0.75,0.66,0.75,1,0.75,0.83,0,1,0.66,level2
0.2,0.25,0,0,0.33,0,0.33,1,0,0,level0
0.4,1,0.33,0.25,0.33,1,1,0.75,0.33,0.33,level2
0.6,0.75,0.66,0.5,0.66,0.5,0.66,0.75,0.33,1,level2
0.8,0.5,0.33,0.25,0.33,0.25,0.33,0.5,0.66,0.33,level1
0,0.5,0,0,0.33,0.75,0.83,0.25,0,0.66,level1
0.2,0,0.33,0.25,0.33,0,0.16,0,1,0.33,level1
0.6,0.75,1,0.75,1,1,0.66,0.5,0.33,0.66,level2
0,0.25,0.33,0.5,0.33,0,0.33,0.25,0.66,0.33,level1
0.6,0.5,0.66,0.5,0.33,0.25,0,0.5,0.66,0,level1
1,0.75,1,1,1,0.5,1,1,1,0.66,level3
0.4,0.5,0.66,0.75,0.33,0.25,0.66,0.75,0.33,1,level2
0.2,0.5,0.33,0.5,0,0.25,0.16,0,0.33,0.33,level1
0.4,0.25,0,0,0,0.25,0.16,0,0.66,0,level0
0.6,0.5,0.33,0.5,0.66,0.5,0.66,0.5,0.66,1,level2
0.2,0,0.33,0.25,0.33,0.5,0.66,0.75,1,0.66,level1
1,0.75,1,1,1,0.75,0.83,1,0,0.66,level3
0,0.25,0.33,0.25,0,0.25,0,0.25,0.33,0.33,level0
0,0.5,0,0.25,0.33,0,0.16,0,1,0,level0
0.4,1,0.66,0.75,1,1,0.83,1,0.66,0.66,level3
0.6,0.75,1,0.5,0.66,0.75,0.66,0.5,1,0.66,level2
0.8,0.25,0.33,0.5,0.66,0.75,1,0.75,0,1,level2
0.4,0.5,0.66,0.25,0.33,0.25,0.33,0.25,0.66,0.33,level1
1,0.5,0.66,1,0.66,1,0.83,1,0,1,level3
0,0.5,0,0,0,0.25,0,0,0.33,0,level0
0.4,0.75,0.66,0.5,0.66,0.75,0.66,0.25,0.33,0.66,level2
0.8,0.5,0.33,0.25,0.33,0.5,0.16,0,0,0.33,level1
0.2,0,0,0,0,0.25,0,0,1,0.33,level0
1,0.75,0.66,1,1,1,0.83,0.75,0.33,1,level3
0,0.25,0.33,0.25,0.33,0.25,0.16,0.25,0.33,0.33,level0
0.2,0,0.33,0,0,0,0.16,0,0.66,0,level0
0.6,0.5,0.66,0.25,0.66,0.5,0.66,0.5,0.33,0.33,level1
0.6,0.25,0.33,0.25,0.33,0.25,0.33,0.25,1,0.66,level1
0.8,1,1,0.25,1,0.5,0.83,1,0,1,level2
0,0,0,0,0,0,0,0,0,0,level0
0.2,0,0,0.25,0,0.5,0.16,0.25,0.33,0.33,level0
1,0.5,0.66,0.5,0.33,0.25,0.33,0.25,1,0,level1
0,1,0.66,0.25,0.66,0.75,0.66,1,1,0.66,level2
1,1,1,1,1,1,1,1,0.66,1,level3
0.2,0.25,0,0.25,0.33,0,0.16,0.5,0.66,0.33,level1
0.2,0.75,0.33,0.5,0.66,0.25,0.33,0.75,0,0.66,level1
0,0.25,0.33,0.25,0,0.25,0.16,0,0.66,0.33,level0
0.2,0.5,0.66,0.5,1,0.75,0.66,0.5,1,1,level2
0.8,0.75,1,1,0.66,1,0.83,0.75,0,0.33,level2
0.2,0,0,0.25,0.33,0,0,0.25,0.33,0,level0
0.6,0.25,0.33,0.75,0.66,0.5,0.16,0.5,0.66,0.66,level2
0.8,0.5,0.66,0.75,0.66,0.75,0.83,0.5,0,0.66,level2
0,0.25,0,0,0,0.25,0.33,0,0.33,0.66,level0
1,0.25,0.33,0.25,0.33,0.25,0.16,0,0.33,0.33,level1
0.4,0.5,0.33,0.25,0.66,0.5,0.66,0.25,1,0,level1
0.4,0.75,0.66,0.75,1,0.75,0.83,1,0,0.66,level2
0.2,0.25,0,0,0.33,0,0.33,0,0.33,0,level0
0.4,1,0.33,0.25,0.33,1,1,1,0.66,0.33,level2
0.6,0.75,0.66,0.5,0.66,0.5,0.66,0.75,0.66,0.33,level2
0.8,0.5,0.33,0.25,0.33,0.25,0.33,0.5,0.33,0.66,level1
0,0.5,0,0,0.33,0.75,0.83,0.25,0.66,0.33,level1
0.2,0,0.33,0.25,0.33,0,0.16,0,0,0.66,level0
0.6,0.75,1,0.75,1,1,0.66,0.5,1,0.33,level3
0,0.25,0.33,0.5,0.33,0,0.33,0.25,0.33,0,level0
0.6,0.5,0.66,0.5,0.33,0.25,0,0.5,0.66,0.66,level1
1,0.75,1,1,1,0.5,1,1,0.66,1,level3
0.4,0.5,0.66,0.75,0.33,0.25,0.66,0.75,1,0.33,level2
0.2,0.5,0.33,0.5,0,0.25,0.16,0,0.33,0,level0
0.4,0.25,0,0,0,0.25,0.16,0,0.33,1,level0
0.6,0.5,0.33,0.5,0.66,0.5,0.66,0.5,0.66,0.66,level2
0.2,0,0.33,0.25,0.33,0.5,0.66,0.75,0.66,0.66,level1
1,0.75,1,1,1,0.75,0.83,1,1,0.33,level3
0,0.25,0.33,0.25,0,0.25,0,0.25,0,0,level0
0,0.5,0,0.25,0.33,0,0.16,0,0.33,0.66,level0
0.4,1,0.66,0.75,1,1,0.83,1,1,0.66,level3
0.6,0.75,1,0.5,0.66,0.75,0.66,0.5,0.66,1,level2
0.8,0.25,0.33,0.5,0.66,0.75,1,0.75,1,0.33,level2
0.4,0.5,0.66,0.25,0.33,0.25,0.33,0.25,0,1,level1
1,0.5,0.66,1,0.66,1,0.83,1,0.66,0,level2
0,0.5,0,0,0,0.25,0,0,0,0.66,level0
0.4,0.75,0.66,0.5,0.66,0.75,0.66,0.25,0.33,0.33,level2
0.8,0.5,0.33,0.25,0.33,0.5,0.16,0,0.33,0.33,level1
0.2,0,0,0,0,0.25,0,0,0,1,level0
1,0.75,0.66,1,1,1,0.83,0.75,1,0.33,level3
0,0.25,0.33,0.25,0.33,0.25,0.16,0.25,0.33,0,level0
0.2,0,0.33,0,0,0,0.16,0,0.33,0.33,level0
0.6,0.5,0.66,0.25,0.66,0.5,0.66,0.5,0.66,0.66,level2
0.6,0.25,0.33,0.25,0.33,0.25,0.33,0.25,0.33,1,level1
0.8,1,1,0.25,1,0.5,0.83,1,1,0,level2
0,0,0,0,0,0,0,0,0,0.33,level0
0.2,0,0,0.25,0,0.5,0.16,0.25,0,0,level0
1,0.5,0.66,0.5,0.33,0.25,0.33,0.25,0.33,0.66,level1
0,1,0.66,0.25,0.66,0.75,0.66,1,1,1,level2
1,1,1,1,1,1,1,1,1,0.33,level3
0.2,0.25,0,0.25,0.33,0,0.16,0.5,0.66,0.66,level1
0.2,0.75,0.33,0.5,0.66,0.25,0.33,0.75,0.66,0.33,level1
0,0.25,0.33,0.25,0,0.25,0.16,0,0,1,level0
0.2,0.5,0.66,0.5,1,0.75,0.66,0.5,0.66,0.33,level2
0.8,0.75,1,1,0.66,1,0.83,0.75,1,0,level3
0.2,0,0,0.25,0.33,0,0,0.25,0,0.66,level0
0.6,0.25,0.33,0.75,0.66,0.5,0.16,0.5,0.33,0.66,level1
0.8,0.5,0.66,0.75,0.66,0.75,0.83,0.5,0.66,0.66,level2
0,0.25,0,0,0,0.25,0.33,0,0,0.33,level0
1,0.25,0.33,0.25,0.33,0.25,0.16,0,0.33,0,level1
0.4,0.5,0.33,0.25,0.66,0.5,0.66,0.25,0.33,0.66,level1
0.4,0.75,0.66,0.75,1,0.75,0.83,1,1,0,level2
0.2,0.25,0,0,0.33,0,0.33,0,0,0.33,level0
0.4,1,0.33,0.25,0.33,1,1,1,0.33,1,level2
